path,NAME,BRK_A3,CONTINENT,SUBREGION,REGION_WB
Chile,CHL,South America,South America,Latin America & Caribbean,M 245.92 225.2 246.38 226.24 246.74 226.36 247.07 228.39 248.17 229.52 247.55 230.92 247.75 231.87 248.2 232.15 248.81 233.57 249.05 235.05 249.58 236.41 249.54 237.0 251.05 236.98 251.45 237.37 250.68 239.66 248.72 240.44 248.0 241.3 248.45 242.03 247.92 242.77 248.34 244.42 248.0 245.24 248.53 246.34 247.49 246.49 246.67 248.29 245.6 249.34 245.27 250.89 244.74 251.48 244.99 252.26 245.05 253.58 244.35 254.03 244.08 255.2 243.52 256.32 244.3 257.24 244.12 257.94 244.83 259.27 244.61 259.95 245.3 260.38 245.07 261.01 245.2 262.29 244.33 263.05 243.98 264.34 243.99 266.29 242.52 267.26 242.29 267.71 242.21 269.97 242.9 272.15 241.7 272.7 241.73 273.36 240.5 276.65 240.73 277.14 240.56 278.65 240.98 279.67 240.12 280.07 240.07 281.7 240.97 282.13 240.54 282.72 241.15 283.76 240.79 284.82 242.34 285.1 241.31 286.09 241.93 286.8 240.85 287.78 241.09 289.89 240.55 290.13 240.38 291.01 239.19 292.6 239.68 293.42 239.09 294.54 237.17 295.69 237.01 297.53 237.97 298.93 239.73 298.66 239.55 299.79 239.78 300.99 240.58 301.63 244.94 301.67 248.27 302.42 246.53 302.11 243.03 303.48 242.68 305.55 242.11 305.81 240.28 305.44 239.4 304.78 242.05 303.91 241.44 303.58 239.36 304.5 237.74 304.41 240.04 303.1 238.95 302.81 238.29 303.92 237.01 302.67 236.99 301.78 235.4 299.3 235.69 298.91 234.69 297.44 235.41 297.4 235.03 295.83 235.1 294.12 235.53 293.84 235.05 292.75 236.21 292.84 236.61 292.29 234.33 292.13 235.25 291.06 236.06 290.71 235.38 290.09 233.57 289.78 232.19 289.77 234.39 288.32 235.55 287.9 236.48 288.88 236.95 288.08 237.16 286.73 238.79 285.6 238.88 285.0 237.57 284.17 238.23 283.39 237.94 282.73 238.71 281.73 238.53 281.35 238.49 279.28 238.97 278.87 238.28 278.34 237.74 279.01 236.72 278.95 236.08 277.21 236.67 274.93 237.65 273.92 237.56 273.01 236.98 271.55 237.16 270.83 236.7 270.0 236.69 269.21 237.56 268.88 238.18 267.77 238.97 265.23 239.89 264.23 240.27 263.22 240.34 262.12 241.2 260.65 241.7 258.14 241.04 254.25 241.2 253.45 241.98 252.69 241.94 251.61 241.46 250.54 242.23 249.25 242.31 248.34 242.81 247.62 242.71 246.6 243.09 246.23 243.41 244.72 243.26 243.66 243.85 242.57 243.54 240.75 243.73 239.11 243.59 237.5 244.17 237.19 244.5 234.41 244.7 233.9 244.38 232.36 244.56 230.88 244.2 229.17 243.96 227.04 244.9 226.84 245.31 226.25 245.15 225.7 245.92 225.2 Z,M 247.84 307.86 247.82 308.05 246.9 308.19 245.29 307.83 244.3 307.99 241.97 307.59 242.93 306.79 244.67 306.64 244.53 305.51 243.78 304.56 245.76 302.79 246.74 303.17 247.88 303.07 247.84 307.82 247.84 307.86 Z,M 249.27 309.7 245.7 309.12 245.09 308.45 248.29 308.17 249.27 309.7 Z,M 249.53 308.85 249.4 308.1 250.81 308.15 250.55 308.79 249.53 308.85 Z,M 239.23 306.26 236.89 305.16 238.95 305.06 239.99 305.59 239.23 306.26 Z,M 233.31 296.71 232.71 295.74 233.9 295.7 233.64 294.69 234.8 294.39 235.03 296.53 234.04 297.26 233.31 296.71 Z,M 237.34 285.23 238.18 284.72 238.8 285.09 237.86 285.94 237.34 285.23 Z,M 235.22 282.33 235.68 280.98 235.84 279.37 236.99 279.13 237.1 279.81 236.39 280.84 237.04 281.24 236.24 282.64 235.22 282.33 Z
Bolivia,BOL,South America,South America,Latin America & Caribbean,M 245.92 225.2 246.1 224.26 247.05 222.79 246.56 222.19 246.11 221.09 246.72 220.16 246.18 219.56 246.5 218.74 247.31 217.89 247.01 216.88 247.09 214.91 247.75 214.1 245.77 210.67 247.9 211.02 248.62 210.73 249.05 210.1 249.81 210.14 250.73 209.28 251.34 209.13 252.3 208.34 254.17 207.96 255.24 208.17 255.28 209.03 254.92 209.59 255.25 210.75 255.13 211.64 255.92 212.98 257.09 213.57 257.26 214.0 258.57 214.0 259.8 214.54 260.18 214.44 260.78 215.18 262.08 215.47 262.9 216.38 265.01 216.43 265.97 217.02 265.95 217.68 266.35 218.82 266.47 220.75 266.71 222.46 270.4 222.59 270.59 224.66 271.9 225.3 272.43 226.7 271.9 228.64 271.16 230.12 271.74 230.68 271.08 231.09 271.04 230.33 269.02 229.14 266.99 229.17 263.1 229.96 262.69 230.95 261.95 232.01 261.96 233.09 261.12 235.68 260.78 235.16 258.25 235.17 257.48 236.69 256.83 235.63 255.87 235.37 254.27 235.41 253.17 234.7 252.86 235.44 252.07 235.65 251.05 236.98 249.54 237.0 249.58 236.41 249.05 235.05 248.81 233.57 248.2 232.15 247.75 231.87 247.55 230.92 248.17 229.52 247.07 228.39 246.74 226.36 246.38 226.24 245.92 225.2 Z
Peru,PER,South America,South America,Latin America & Caribbean,M 245.92 225.2 245.15 225.7 245.31 226.25 244.9 226.84 243.96 227.04 241.82 225.48 241.48 224.7 240.83 224.5 238.87 223.32 236.63 222.34 235.86 221.77 233.39 220.51 232.53 219.38 231.69 218.86 230.91 217.73 231.04 216.0 229.73 214.06 228.93 213.15 228.61 211.87 227.88 211.42 227.83 210.61 226.98 209.33 226.0 206.76 225.02 205.09 224.91 204.6 223.85 203.49 223.53 202.5 222.75 201.43 220.23 199.85 220.77 198.91 220.01 197.93 220.31 197.52 219.7 196.76 219.89 195.78 220.96 194.61 221.91 193.91 222.3 195.01 221.6 195.25 221.76 196.31 222.49 195.94 223.76 196.43 224.21 197.39 224.86 197.38 225.59 195.98 226.3 194.12 227.43 193.0 230.02 192.09 231.33 191.11 232.51 189.72 233.15 187.55 233.12 186.63 234.14 186.77 235.05 187.66 235.33 188.48 236.77 189.17 237.01 190.1 237.77 190.38 237.75 191.24 238.31 191.75 239.52 191.81 240.47 191.55 240.91 191.14 242.13 191.58 242.9 191.33 244.72 192.41 243.21 194.77 244.14 194.88 244.91 195.78 243.88 195.55 242.99 195.65 242.69 196.11 240.9 196.32 240.24 196.6 239.01 197.52 238.37 197.77 238.18 199.04 237.66 199.86 237.89 200.65 236.49 201.69 236.5 202.65 236.03 203.2 236.6 203.65 237.02 204.95 237.8 205.72 238.27 206.53 237.71 207.25 239.45 207.41 239.97 208.57 241.75 208.57 243.32 207.51 243.41 210.8 244.19 210.92 244.93 210.59 245.77 210.67 247.75 214.1 247.09 214.91 247.01 216.88 247.31 217.89 246.5 218.74 246.18 219.56 246.72 220.16 246.11 221.09 246.56 222.19 247.05 222.79 246.1 224.26 245.92 225.2 Z
Argentina,ARG,South America,South America,Latin America & Caribbean,M 251.05 236.98 252.07 235.65 252.86 235.44 253.17 234.7 254.27 235.41 255.87 235.37 256.83 235.63 257.48 236.69 258.25 235.17 260.78 235.16 261.12 235.68 261.93 236.23 262.66 237.45 264.77 239.16 266.27 239.63 266.93 239.6 269.64 241.31 270.94 241.68 271.98 242.21 272.42 242.82 271.24 244.3 270.88 245.7 269.99 246.59 271.38 246.81 273.25 247.32 274.66 247.25 275.59 246.9 276.41 247.22 277.17 246.19 278.14 245.77 278.73 245.0 278.97 243.08 280.5 243.2 281.04 244.51 280.7 246.55 278.47 247.45 278.03 248.1 276.37 248.97 274.95 250.79 272.93 252.85 272.29 253.29 271.77 253.96 271.86 254.9 271.46 256.33 271.06 256.98 270.99 258.31 271.11 259.65 270.58 259.71 270.22 261.05 270.59 262.17 270.3 262.72 271.09 263.42 272.49 264.0 273.33 265.05 272.87 265.58 273.1 266.57 274.32 267.07 274.39 268.08 273.53 269.32 272.52 270.34 272.33 270.96 271.09 271.58 269.08 272.16 265.08 272.79 263.63 272.86 262.51 272.7 261.77 273.07 262.44 273.84 261.49 275.69 262.01 276.43 261.82 276.99 260.13 277.62 258.62 277.62 256.04 276.63 255.53 277.29 255.93 278.5 255.76 279.46 256.88 280.46 258.55 279.64 259.04 280.25 258.98 281.15 257.89 281.45 257.42 280.69 256.77 280.63 255.92 281.23 257.0 281.56 255.18 283.2 255.44 284.73 254.4 285.5 254.58 286.2 253.26 286.12 251.77 286.66 250.75 287.5 250.1 288.72 250.55 289.61 251.96 290.59 254.27 291.02 254.04 292.67 252.66 293.68 251.23 294.28 250.25 295.04 249.86 296.74 249.1 297.42 247.32 297.95 246.68 299.39 247.19 300.87 248.27 302.42 244.94 301.67 240.58 301.63 239.78 300.99 239.55 299.79 239.73 298.66 237.97 298.93 237.01 297.53 237.17 295.69 239.09 294.54 239.68 293.42 239.19 292.6 240.38 291.01 240.55 290.13 241.09 289.89 240.85 287.78 241.93 286.8 241.31 286.09 242.34 285.1 240.79 284.82 241.15 283.76 240.54 282.72 240.97 282.13 240.07 281.7 240.12 280.07 240.98 279.67 240.56 278.65 240.73 277.14 240.5 276.65 241.73 273.36 241.7 272.7 242.9 272.15 242.21 269.97 242.29 267.71 242.52 267.26 243.99 266.29 243.98 264.34 244.33 263.05 245.2 262.29 245.07 261.01 245.3 260.38 244.61 259.95 244.83 259.27 244.12 257.94 244.3 257.24 243.52 256.32 244.08 255.2 244.35 254.03 245.05 253.58 244.99 252.26 244.74 251.48 245.27 250.89 245.6 249.34 246.67 248.29 247.49 246.49 248.53 246.34 248.0 245.24 248.34 244.42 247.92 242.77 248.45 242.03 248.0 241.3 248.72 240.44 250.68 239.66 251.45 237.37 251.05 236.98 Z,M 247.84 307.82 247.88 303.07 248.68 303.83 249.3 305.21 252.63 307.12 254.05 307.52 253.77 308.09 252.5 308.42 251.41 308.1 247.84 307.82 Z
Suriname,SUR,South America,South America,Latin America & Caribbean,M 278.94 181.23 278.04 180.65 275.61 181.22 276.03 181.82 275.82 182.32 274.8 182.09 274.3 181.89 273.26 180.14 273.02 178.98 272.4 178.96 271.81 178.27 271.28 177.19 272.05 175.33 272.95 175.25 273.1 174.23 273.75 173.06 275.87 173.51 276.21 173.14 278.59 173.12 280.22 173.44 279.92 174.53 279.23 175.5 279.51 177.37 280.32 178.38 279.88 179.34 279.83 180.23 278.94 181.23 Z
Guyana,GUY,South America,South America,Latin America & Caribbean,M 274.8 182.09 274.08 182.24 273.42 181.91 272.41 182.6 270.7 182.86 270.28 183.58 269.44 183.69 268.68 183.33 267.52 182.13 267.57 181.37 267.0 180.42 267.36 178.39 268.04 177.67 267.69 176.68 266.81 176.18 267.04 175.12 266.53 174.71 265.36 174.86 263.94 173.3 264.51 172.68 264.33 171.77 266.07 171.0 265.38 169.71 265.88 169.05 266.96 168.52 267.41 168.02 266.95 167.42 268.85 168.53 270.4 170.18 270.55 171.13 271.28 171.27 273.28 172.9 273.1 174.23 272.95 175.25 272.05 175.33 271.28 177.19 271.81 178.27 272.4 178.96 273.02 178.98 273.26 180.14 274.3 181.89 274.8 182.09 Z
Brazil,BRA,South America,South America,Latin America & Caribbean,M 272.29 253.29 272.93 252.85 274.95 250.79 276.37 248.97 278.03 248.1 278.47 247.45 280.7 246.55 281.04 244.51 280.5 243.2 278.97 243.08 279.72 240.32 279.76 239.7 278.94 239.17 278.21 239.52 277.2 239.54 276.67 237.37 276.68 236.54 276.1 235.84 274.93 235.32 274.0 235.8 271.78 235.47 271.46 235.23 271.75 233.67 271.74 232.34 271.08 231.09 271.74 230.68 271.16 230.12 271.9 228.64 272.43 226.7 271.9 225.3 270.59 224.66 270.4 222.59 266.71 222.46 266.47 220.75 266.35 218.82 265.95 217.68 265.97 217.02 265.01 216.43 262.9 216.38 262.08 215.47 260.78 215.18 260.18 214.44 259.8 214.54 258.57 214.0 257.26 214.0 257.09 213.57 255.92 212.98 255.13 211.64 255.25 210.75 254.92 209.59 255.28 209.03 255.24 208.17 254.17 207.96 252.3 208.34 251.34 209.13 250.73 209.28 249.81 210.14 249.05 210.1 248.62 210.73 247.9 211.02 245.77 210.67 244.93 210.59 244.19 210.92 243.41 210.8 243.32 207.51 241.75 208.57 239.97 208.57 239.45 207.41 237.71 207.25 238.27 206.53 237.8 205.72 237.02 204.95 236.6 203.65 236.03 203.2 236.5 202.65 236.49 201.69 237.89 200.65 237.66 199.86 238.18 199.04 238.37 197.77 239.01 197.52 240.24 196.6 240.9 196.32 242.69 196.11 242.99 195.65 243.88 195.55 244.91 195.78 245.34 193.56 246.16 189.01 245.65 187.51 244.67 186.67 244.71 185.09 246.75 184.95 246.23 184.03 245.16 184.04 245.17 182.69 246.27 182.58 248.9 182.57 249.73 182.37 250.73 181.76 251.22 182.6 251.27 183.61 251.76 183.68 252.93 184.71 253.35 184.76 254.26 184.23 254.92 184.86 255.61 183.89 256.51 183.62 257.95 182.74 258.14 182.05 259.44 181.62 259.5 181.02 258.03 180.91 258.14 180.39 257.64 179.46 257.68 178.42 256.66 177.53 257.32 177.19 257.99 177.72 259.41 177.59 260.36 178.41 260.91 178.28 260.87 177.48 261.72 177.14 262.14 177.31 263.58 176.94 264.12 176.36 264.76 176.37 265.64 175.53 265.36 174.86 266.53 174.71 267.04 175.12 266.81 176.18 267.69 176.68 268.04 177.67 267.36 178.39 267.0 180.42 267.57 181.37 267.52 182.13 268.68 183.33 269.44 183.69 270.28 183.58 270.7 182.86 272.41 182.6 273.42 181.91 274.08 182.24 274.8 182.09 275.82 182.32 276.03 181.82 275.61 181.22 278.04 180.65 278.94 181.23 280.0 181.71 280.6 181.28 281.75 181.18 282.61 181.57 283.16 181.16 284.76 178.18 285.44 177.44 285.81 176.54 286.77 177.78 286.74 178.9 287.59 181.43 288.13 182.36 289.37 182.7 289.21 184.01 288.47 184.58 287.41 186.01 286.5 186.5 285.4 188.05 285.34 188.69 284.46 189.98 287.34 188.67 287.35 189.57 287.91 190.58 288.34 190.76 289.22 190.44 289.88 190.62 290.31 190.3 290.87 190.71 291.46 189.94 292.85 189.31 293.26 188.12 294.52 187.67 296.67 188.19 298.45 189.22 300.05 189.63 301.31 190.48 301.42 191.71 300.93 193.03 301.51 192.93 301.65 192.04 302.44 192.23 303.63 192.01 303.99 191.59 305.33 192.06 305.9 192.49 308.36 192.86 310.23 192.57 311.37 192.7 312.76 193.45 314.3 194.54 314.75 194.63 315.53 195.61 317.58 197.27 318.89 197.7 320.21 197.58 321.28 197.79 321.84 198.54 322.87 202.26 322.83 203.91 322.09 206.14 321.13 207.52 320.53 207.96 319.3 209.67 318.2 210.27 317.02 212.03 316.53 213.1 315.06 215.06 314.13 214.62 313.9 215.56 313.41 216.09 313.72 217.43 313.4 218.92 313.85 221.51 313.09 224.43 313.14 225.4 312.44 226.3 311.94 227.44 311.98 229.43 311.27 230.2 310.56 231.83 309.71 232.59 308.96 234.1 309.19 235.04 307.64 235.78 306.97 236.34 306.77 237.27 304.61 237.32 303.48 237.48 302.77 237.14 301.5 237.37 300.07 238.48 298.33 239.05 295.89 240.25 295.41 240.77 293.99 241.57 293.71 242.25 292.64 243.19 292.24 244.11 292.09 245.62 292.32 246.27 292.16 247.67 292.35 248.15 291.79 249.81 290.62 250.5 289.59 251.65 288.47 253.91 287.98 253.6 286.68 253.46 285.97 255.29 284.9 255.79 284.19 256.97 284.45 257.72 283.9 258.43 283.36 259.76 281.68 261.18 281.32 260.98 281.38 259.76 282.24 259.0 281.08 258.07 280.81 257.43 280.0 257.12 278.99 256.15 277.51 255.61 276.77 254.77 275.84 254.66 274.02 253.12 273.18 253.53 272.29 253.29 Z,M 286.54 187.75 286.35 188.64 285.21 189.6 285.45 188.27 285.83 187.73 286.54 187.75 Z,M 292.57 187.67 291.74 189.59 289.56 190.42 289.05 190.17 288.27 190.45 287.38 189.55 287.44 187.85 287.87 186.81 288.35 186.62 289.93 186.92 290.91 186.7 292.65 186.97 292.57 187.67 Z
Uruguay,URY,South America,South America,Latin America & Caribbean,M 281.68 261.18 280.82 262.62 279.98 263.24 278.22 263.91 276.33 263.47 275.18 263.76 273.38 262.78 271.83 262.81 270.57 261.63 270.62 259.88 271.33 259.34 270.99 258.31 271.06 256.98 271.46 256.33 271.86 254.9 271.77 253.96 272.29 253.29 273.18 253.53 274.02 253.12 275.84 254.66 276.77 254.77 277.51 255.61 278.99 256.15 280.0 257.12 280.81 257.43 281.08 258.07 282.24 259.0 281.38 259.76 281.32 260.98 281.68 261.18 Z
Ecuador,ECU,South America,South America,Latin America & Caribbean,M 225.26 183.21 226.83 184.35 227.7 184.52 228.38 185.48 229.55 185.85 231.41 185.58 232.0 186.2 233.12 186.63 233.15 187.55 232.51 189.72 231.33 191.11 230.02 192.09 227.43 193.0 226.3 194.12 225.59 195.98 224.86 197.38 224.21 197.39 223.76 196.43 222.49 195.94 221.76 196.31 221.6 195.25 222.3 195.01 221.91 193.91 222.77 193.48 223.28 192.09 221.96 192.4 221.21 191.74 220.78 189.97 221.02 189.37 220.64 188.75 221.3 188.48 221.73 187.72 221.57 187.23 222.52 186.27 222.5 184.58 223.87 184.01 224.98 183.81 225.26 183.21 Z,M 198.7 188.01 198.44 188.54 197.4 188.65 197.32 188.11 198.07 187.65 198.7 188.01 Z
Colombia,COL,South America,South America,Latin America & Caribbean,M 225.26 183.21 225.22 182.35 226.14 180.65 226.91 180.82 227.65 180.57 227.88 179.58 228.86 178.36 228.37 177.51 228.61 176.31 228.52 174.65 228.23 173.99 228.77 173.56 228.4 172.56 228.56 171.88 227.33 170.35 227.5 169.82 228.56 169.3 228.87 168.7 228.25 167.49 228.49 167.18 229.69 168.35 230.04 167.15 230.97 166.42 231.16 165.89 232.29 164.88 232.62 162.92 234.09 161.76 234.85 162.06 235.55 161.3 237.54 161.35 238.72 160.46 239.82 160.04 240.09 159.56 241.16 158.76 242.08 159.06 242.36 159.58 241.89 160.12 240.46 160.54 239.83 161.63 239.33 161.71 238.39 163.22 238.23 164.58 237.35 166.07 238.16 165.78 238.66 166.31 238.9 167.21 239.54 167.91 239.32 168.77 239.4 169.9 239.94 170.03 240.22 170.72 242.21 170.96 243.27 170.65 244.62 171.0 246.07 172.82 246.91 172.61 247.86 172.79 250.21 172.5 250.53 173.0 250.05 174.23 249.61 174.65 249.59 176.25 250.08 178.05 250.81 178.8 249.62 179.99 250.76 180.9 251.34 182.19 251.76 183.68 251.27 183.61 251.22 182.6 250.73 181.76 249.73 182.37 248.9 182.57 246.27 182.58 245.17 182.69 245.16 184.04 246.23 184.03 246.75 184.95 244.71 185.09 244.67 186.67 245.65 187.51 246.16 189.01 245.34 193.56 244.91 195.78 244.14 194.88 243.21 194.77 244.72 192.41 242.9 191.33 242.13 191.58 240.91 191.14 240.47 191.55 239.52 191.81 238.31 191.75 237.75 191.24 237.77 190.38 237.01 190.1 236.77 189.17 235.33 188.48 235.05 187.66 234.14 186.77 233.12 186.63 232.0 186.2 231.41 185.58 229.55 185.85 228.38 185.48 227.7 184.52 226.83 184.35 225.26 183.21 Z
Paraguay,PRY,South America,South America,Latin America & Caribbean,M 261.12 235.68 261.96 233.09 261.95 232.01 262.69 230.95 263.1 229.96 266.99 229.17 269.02 229.14 271.04 230.33 271.08 231.09 271.74 232.34 271.75 233.67 271.46 235.23 271.78 235.47 274.0 235.8 274.93 235.32 276.1 235.84 276.68 236.54 276.67 237.37 277.2 239.54 278.21 239.52 278.94 239.17 279.76 239.7 279.72 240.32 278.97 243.08 278.73 245.0 278.14 245.77 277.17 246.19 276.41 247.22 275.59 246.9 274.66 247.25 273.25 247.32 271.38 246.81 269.99 246.59 270.88 245.7 271.24 244.3 272.42 242.82 271.98 242.21 270.94 241.68 269.64 241.31 266.93 239.6 266.27 239.63 264.77 239.16 262.66 237.45 261.93 236.23 261.12 235.68 Z
Venezuela,VEN,South America,South America,Latin America & Caribbean,M 266.95 167.42 267.41 168.02 266.96 168.52 265.88 169.05 265.38 169.71 266.07 171.0 264.33 171.77 264.51 172.68 263.94 173.3 265.36 174.86 265.64 175.53 264.76 176.37 264.12 176.36 263.58 176.94 262.14 177.31 261.72 177.14 260.87 177.48 260.91 178.28 260.36 178.41 259.41 177.59 257.99 177.72 257.32 177.19 256.66 177.53 257.68 178.42 257.64 179.46 258.14 180.39 258.03 180.91 259.5 181.02 259.44 181.62 258.14 182.05 257.95 182.74 256.51 183.62 255.61 183.89 254.92 184.86 254.26 184.23 253.35 184.76 252.93 184.71 251.76 183.68 251.34 182.19 250.76 180.9 249.62 179.99 250.81 178.8 250.08 178.05 249.59 176.25 249.61 174.65 250.05 174.23 250.53 173.0 250.21 172.5 247.86 172.79 246.91 172.61 246.07 172.82 244.62 171.0 243.27 170.65 242.21 170.96 240.22 170.72 239.94 170.03 239.4 169.9 239.32 168.77 239.54 167.91 238.9 167.21 238.66 166.31 238.16 165.78 237.35 166.07 238.23 164.58 238.39 163.22 239.33 161.71 239.83 161.63 240.46 160.54 241.89 160.12 240.49 160.69 240.53 161.16 241.34 162.62 241.22 163.22 240.12 164.61 240.47 165.33 241.48 166.33 242.49 165.63 242.52 164.75 241.45 163.01 241.6 162.06 244.43 161.17 244.18 160.07 244.79 159.35 245.2 159.76 245.67 160.97 246.45 160.82 247.35 161.0 248.34 161.61 248.73 162.94 249.4 163.19 252.5 162.82 253.42 162.89 253.99 163.54 255.54 164.01 256.48 163.99 257.82 163.16 258.53 163.23 259.17 162.82 260.97 162.54 260.72 163.32 262.84 164.61 263.81 164.62 265.26 165.69 264.82 166.07 264.82 167.39 266.18 167.25 266.95 167.42 Z
Falkland Is.,B12,South America,South America,Latin America & Caribbean,M 267.81 301.08 266.42 301.62 265.65 301.09 266.93 300.31 268.65 300.3 267.81 301.08 Z,M 271.84 300.98 270.09 301.66 268.36 301.9 267.93 301.46 268.99 300.82 269.03 300.34 270.37 300.11 271.64 300.27 271.84 300.98 Z
